ip,online,status,latency_ms,ttl,hostname,mac_address,open_ports,http_title,http_server,http_status,ssh_banner,snmp_enabled,snmp_sys_descr,snmp_sys_object_id,snmp_sys_contact,snmp_sys_name,snmp_sys_location,device_hints,checked_at
192.168.20.21,TRUE,online,0.415,64,,a8:e2:91:3e:fa:76,22,,,,SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u10,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.15,TRUE,online,0.352,64,,00:11:32:35:f0:f2,80;443;445,,nginx,200,,FALSE,,,,,,possible Windows/SMB host; has web interface; possible Linux/nginx web service; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.1,TRUE,online,0.413,64,_gateway,d8:9d:67:c6:a3:8f,53;80;443,UniFi OS,nginx,200,,FALSE,,,,,,possible DNS server; has web interface; possible Linux/nginx web service; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.27,TRUE,online,0.692,64,,bc:24:11:99:dc:35,22;80,Welcome to nginx!,nginx/1.24.0 (Ubuntu),200,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; has web interface; possible Linux/nginx web service; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.28,TRUE,online,0.496,64,,bc:24:11:94:16:6d,22,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.24,TRUE,online,0.638,64,,bc:24:11:e8:b1:7d,22,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.26,TRUE,online,0.537,64,,bc:24:11:7d:90:cc,22,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.29,TRUE,online,0.522,64,,bc:24:11:9c:03:26,22,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.100,TRUE,online,0.518,64,,d8:9d:67:f4:f4:eb,22,,,,SSH-2.0-OpenSSH_10.0p2 Debian-7+deb13u4,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.17,TRUE,online,0.253,128,,d8:9d:67:c6:a3:8f,22;80;443;445;3389,,,,,FALSE,,,,,,possible Windows/RDP host; possible Windows/SMB host; possible Linux/network device; has web interface; possible Windows device (TTL near 128),24/06/2026 0:52
192.168.20.25,TRUE,online,0.557,64,,bc:24:11:29:ad:31,22,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:52
192.168.20.173,TRUE,online,0.255,64,,bc:24:11:4e:c2:93,22;9100,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible printer; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.174,TRUE,online,0.322,64,,bc:24:11:15:21:98,22;80,Welcome to nginx!,nginx/1.24.0 (Ubuntu),200,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; has web interface; possible Linux/nginx web service; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.172,TRUE,online,0.314,64,,bc:24:11:86:18:2e,22;9100,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible printer; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.170,TRUE,online,0.253,64,,8c:dc:d4:2c:05:d9,22,,,,SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u9,FALSE,,,,,,possible Linux/network device; SSH service detected; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.171,TRUE,online,0.414,64,,bc:24:11:5f:74:3b,22;80;443;9100,404 Not Found,,404,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible printer; has web interface; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.181,TRUE,online,0.06,64,ase-kuber-control,,22;9100,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible printer; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
192.168.20.182,TRUE,online,0.194,64,,bc:24:11:93:11:a2,22;9100,,,,SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16,FALSE,,,,,,possible Linux/network device; SSH service detected; possible printer; possible Linux/Unix device (TTL near 64),24/06/2026 0:53
